P,P_dyn,q_target,mixture_name,T_w,R_p,R_m,R_j,barker_type,stag_type,T,T_t,u,P_t,run_time
1000.0,200.0,200000.0,air_11,400,0.00477,0.01016,0.05,0,0,2375.562941197715,2427.246400471988,507.031724811174,1.2,6.984144449234009
1000.0,200.0,248484.8484848485,air_11,400,0.00477,0.01016,0.05,0,0,2541.405947065853,2587.152211589063,529.3312492144133,1.2,8.76944899559021
1000.0,200.0,296969.696969697,air_11,400,0.00477,0.01016,0.05,0,0,2663.079661942343,2707.2894269812186,547.7963015502528,1.2,6.819105386734009
1000.0,200.0,345454.54545454547,air_11,400,0.00477,0.01016,0.05,0,0,2765.3465352950916,2810.361490115262,564.6366563176481,1.2,6.330390453338623
1000.0,200.0,393939.3939393939,air_11,400,0.00477,0.01016,0.05,0,0,2860.632309719379,2908.429919715113,580.9442826172237,1.2,7.13028359413147
1000.0,200.0,442424.24242424243,air_11,400,0.00477,0.01016,0.05,0,0,2958.217249777263,3011.473518558036,597.5324321833275,1.2,7.353858709335327
1000.0,200.0,490909.09090909094,air_11,400,0.00477,0.01016,0.05,0,0,3069.3307759058125,3133.048474217576,615.3885548537855,1.2,11.873446702957153
1000.0,200.0,539393.9393939393,air_11,400,0.00477,0.01016,0.05,0,0,3213.290236177856,3297.9972807537165,636.1530252179504,1.2,9.459665775299072
1000.0,200.0,587878.7878787878,air_11,400,0.00477,0.01016,0.05,0,0,3421.2379240293358,3538.8432359185035,661.8851120035007,1.2,6.904253721237183
1000.0,200.0,636363.6363636364,air_11,400,0.00477,0.01016,0.05,0,0,3690.498150801363,3820.9493696623836,690.2417323466736,1.2,6.986423015594482
